Date,Open
,209.2
,207.19
,200.42
,201.47
,203.61
,202.5
,201.0
,204.4
2020-08-03 16:00:00,211.52
2020-08-04 16:00:00,214.17
2020-08-05 16:00:00,214.9
2020-08-06 16:00:00,212.34
2020-08-07 16:00:00,214.85
2020-08-10 16:00:00,211.67
2020-08-11 16:00:00,207.16
2020-08-12 16:00:00,205.29
,209.44
,208.76
,209.6
,210.53
,211.49
,209.54
,213.86
,214.79
,213.1
,217.88
,222.89
,228.18
,227.0
2020-09-01 16:00:00,225.51
2020-09-02 16:00:00,227.97
2020-09-03 16:00:00,229.27
2020-09-04 16:00:00,215.1
2020-09-08 16:00:00,206.5
2020-09-09 16:00:00,207.6
2020-09-10 16:00:00,213.4
2020-09-11 16:00:00,207.2
,204.24
,208.42
,210.62
,200.05
,202.8
,197.19
,205.06
,207.9
,199.85
,203.55
,210.88
,209.35
,207.73
2020-10-01 16:00:00,213.49
2020-10-02 16:00:00,208.0
2020-10-05 16:00:00,207.22
2020-10-06 16:00:00,208.82
2020-10-07 16:00:00,207.06
2020-10-08 16:00:00,210.51
2020-10-09 16:00:00,211.23
2020-10-12 16:00:00,218.79
,222.72
,223.0
,217.1
,220.15
,220.42
,215.8
,213.12
,213.93
,215.03
,213.85
,211.59
,207.67
,204.07
,203.5
2020-11-02 16:00:00,204.29
2020-11-03 16:00:00,203.89
2020-11-04 16:00:00,214.02
2020-11-05 16:00:00,222.04
2020-11-06 16:00:00,222.26
2020-11-09 16:00:00,224.44
2020-11-10 16:00:00,214.5
